asn,Count
AS51300,1
AS51604,1
AS52000,1
AS52142,1
AS52308,1
AS52935,1
AS53153,1
AS54600,1
AS56377,1
AS57858,1
AS58504,1
AS60042,1
AS60148,1
AS60976,1
AS61583,1
AS61621,1
AS63996,1
AS131740,1
AS131921,1
AS132137,1
AS132519,1
AS132585,1
AS133255,1
AS133661,1
AS133674,1
AS134614,1
AS134823,1
AS135235,1
AS136038,1
AS136787,1
AS137047,1
AS138029,1
AS138806,1
AS139659,1
AS140711,1
AS140717,1
AS140764,1
AS141049,1
AS141097,1
AS141127,1
AS142286,1
AS142364,1
AS150263,1
AS151675,1
AS197019,1
AS197078,1
AS197667,1
AS197984,1
AS202302,1
AS202376,1
AS202391,1
AS204548,1
AS211619,1
AS213795,1
AS215863,1
AS263320,1
AS263474,1
AS264452,1
AS264562,1
AS265703,1
AS268750,1
AS272174,1
AS327764,1
AS327771,1
AS328847,1
AS393889,1
AS394709,1
AS396126,1
AS397361,1
AS397731,1
AS399820,1
AS2515,1
AS3266,1
AS3292,1
AS4385,1
AS5588,1
AS7040,1
AS8251,1
AS8542,1
AS9319,1
AS9790,1
AS10088,1
AS12332,1
AS12722,1
AS13739,1
AS15353,1
AS15640,1
AS15826,1
AS15895,1
AS17839,1
AS18187,1
AS21413,1
AS23106,1
AS24534,1
AS24822,1
AS25374,1
AS25620,1
AS28146,1
AS28250,1
AS29107,1
AS30083,1
AS31163,1
AS31242,1
AS34853,1
